contributor_zip,count
20607,1
20613,2
20639,1
20646,3
20650,1
20657,1
20659,1
20664,2
20675,1
20705,2
20706,3
20707,1
20716,2
20717,1
20720,4
20721,16
20723,3
20735,1
20741,1
20744,3
20745,4
20747,3
20748,2
20759,4
20770,2
20772,9
20774,5
20781,3
20782,3
20785,2
20814,19
20815,57
20816,20
20817,41
20818,2
20824,2
20832,1
20841,1
20850,7
20852,5
20853,1
20854,20
20855,1
20859,1
20866,2
20878,5
20879,1
20882,2
20886,1
20895,5
20896,3
20901,2
20902,1
20904,3
20905,2
20906,1
20910,3
20912,16
21012,1
21029,3
21030,2
21032,1
21035,1
21036,1
21037,2
21042,4
21043,1
21044,1
21045,1
21046,2
21048,1
21051,1
21076,2
21108,1
21113,2
21117,4
21136,2
21144,1
21146,3
21152,1
21202,4
21204,1
21206,1
21207,2
21208,14
21209,4
21210,17
21211,1
21212,7
21213,1
21217,2
21218,9
21231,2
21234,1
21244,1
21401,8
21403,5
21404,1
21502,1
21601,14
21613,1
21654,1
21662,2
21663,4
21666,1
21704,1
21737,1
21738,1
21757,2
21784,1
