contributor_zip,count
20601,12
20603,12
20604,1
20607,93
20609,1
20613,71
20616,3
20619,2
20622,1
20623,3
20634,2
20636,5
20637,5
20639,18
20640,1
20646,26
20650,20
20653,1
20657,4
20659,16
20664,4
20674,3
20675,1
20676,5
20678,2
20688,11
20692,1
20695,3
20701,2
20704,7
20705,36
20706,74
20707,69
20708,44
20710,7
20711,3
20712,16
20714,1
20715,59
20716,108
20717,2
20718,1
20720,218
20721,368
20722,23
20723,14
20724,15
20732,2
20733,10
20735,81
20736,9
20737,28
20740,33
20741,1
20743,18
20744,258
20745,50
20746,10
20747,50
20748,71
20749,3
20754,6
20755,3
20757,2
20758,2
20759,63
20764,13
20765,8
20769,41
20770,60
20772,189
20773,2
20774,301
20775,3
20777,5
20778,2
20779,1
20781,23
20782,56
20783,5
20784,2
20785,39
20791,1
20794,7
20812,2
20814,288
20815,570
20816,188
20817,371
20818,20
20824,2
20832,61
20833,6
20837,6
20841,13
20850,85
20851,13
20852,162
20853,22
20854,261
20855,24
20859,2
20860,24
20861,20
20862,7
20866,18
20871,2
20872,4
20874,20
20875,1
20876,7
20877,49
20878,100
20879,7
20880,12
20882,7
20886,51
20895,139
20896,14
20901,145
20902,94
20903,14
20904,225
20905,54
20906,119
20910,289
20912,238
21001,4
21012,21
21014,5
21015,2
21023,2
21029,18
21030,32
21032,6
21035,8
21036,3
21037,9
21042,66
21043,45
21044,67
21045,89
21046,20
21047,5
21048,2
21050,2
21051,3
21054,10
21055,1
21056,1
21060,3
21061,3
21074,20
21075,5
21076,29
21078,1
21087,1
21090,1
21093,58
21102,1
21104,6
21108,10
21111,2
21113,45
21114,4
21117,58
21120,8
21122,7
21128,5
21131,9
21132,2
21133,19
21136,22
21140,7
21144,41
21146,18
21152,1
21153,2
21157,20
21161,4
21163,31
21201,11
21202,31
21203,8
21204,46
21205,1
21206,4
21207,46
21208,57
21209,56
21210,108
21211,48
21212,53
21213,8
21214,17
21215,35
21217,39
21218,142
21220,9
21221,1
21223,2
21224,35
21225,2
21226,3
21227,6
21228,43
21229,10
21230,34
21231,11
21234,10
21236,8
21237,10
21239,25
21244,16
21284,4
21285,1
21286,18
21401,99
21403,43
21404,1
21405,5
21409,25
21502,6
21532,11
21561,2
21601,70
21613,6
21617,1
21619,19
21620,31
21624,8
21625,4
21629,5
21631,2
21638,1
21647,1
21648,2
21654,9
21655,5
21658,5
21662,2
21663,17
21666,7
21671,1
21701,37
21702,20
21703,11
21704,6
21727,3
21737,1
21738,2
21740,2
21742,1
21754,16
21755,1
21757,2
21769,1
21770,1
21771,7
21780,1
21784,7
21794,1
21797,16
21801,10
21804,13
21811,15
21813,4
21826,1
21830,1
21837,2
21842,1
21875,1
21904,7
21913,1
