contributor_zip,count
20646,3
20677,1
20678,6
20689,1
20695,1
20707,1
20708,2
20711,4
20715,1
20723,6
20737,1
20740,1
20754,1
20758,1
20759,5
20764,4
20772,2
20782,2
20783,1
20814,12
20815,21
20816,7
20817,42
20818,1
20833,1
20837,3
20841,2
20850,4
20852,14
20853,2
20854,37
20855,2
20860,2
20861,2
20871,3
20874,2
20876,1
20878,5
20895,6
20901,1
20902,3
20904,2
20906,2
20910,2
21001,1
21009,1
21012,3
21013,1
21014,4
21015,10
21017,4
21022,1
21023,4
21028,1
21029,2
21030,18
21031,2
21032,4
21034,1
21035,6
21037,9
21042,4
21043,3
21044,1
21045,2
21047,3
21050,3
21054,1
21056,6
21057,4
21076,1
21078,2
21082,2
21085,5
21093,16
21108,2
21111,5
21113,1
21114,3
21117,11
21122,3
21131,3
21136,9
21144,2
21146,8
21152,1
21163,2
21202,7
21204,9
21205,1
21208,14
21209,3
21210,3
21212,9
21215,2
21218,1
21220,1
21224,2
21227,2
21228,5
21230,1
21231,3
21234,3
21237,2
21286,7
21401,28
21403,15
21405,1
21409,11
21502,4
21601,9
21619,1
21620,1
21654,4
21658,2
21659,1
21662,1
21663,1
21666,6
21673,1
21679,1
21701,1
21702,1
21713,1
21722,1
21734,1
21740,12
21742,19
21758,1
21782,1
21784,2
21787,1
21792,1
21795,3
21797,1
21801,3
21811,3
21813,1
21842,17
21921,1
