contributor_zip,count
20601,18
20603,22
20604,2
20607,4
20608,1
20610,1
20613,4
20615,1
20617,1
20618,1
20619,10
20620,2
20622,2
20630,1
20634,1
20636,6
20639,6
20645,1
20646,8
20650,6
20653,1
20657,5
20659,7
20662,2
20674,1
20676,7
20677,5
20678,16
20685,2
20688,12
20689,1
20695,1
20705,8
20707,3
20708,4
20710,7
20711,9
20714,3
20715,10
20716,4
20720,5
20721,2
20723,14
20736,4
20737,5
20740,8
20744,2
20745,1
20746,2
20751,1
20754,3
20758,2
20759,13
20764,7
20765,1
20769,8
20772,12
20773,2
20774,4
20776,3
20777,7
20778,6
20779,2
20781,2
20782,9
20783,1
20785,9
20794,3
20814,47
20815,117
20816,57
20817,102
20818,3
20832,5
20833,4
20837,4
20838,8
20841,2
20850,33
20851,3
20852,29
20853,12
20854,137
20855,11
20859,1
20860,7
20861,3
20866,4
20871,14
20872,5
20874,9
20876,4
20877,15
20878,43
20879,1
20882,16
20886,9
20895,18
20901,11
20902,6
20903,10
20904,11
20905,9
20906,8
20910,8
20912,1
21001,5
21009,6
21012,33
21013,6
21014,21
21015,26
21017,11
21022,1
21023,4
21028,4
21029,15
21030,29
21031,2
21032,19
21034,4
21035,35
21036,2
21037,45
21041,3
21042,51
21043,48
21044,21
21045,6
21046,19
21047,6
21048,1
21050,10
21051,2
21053,6
21054,8
21056,14
21057,9
21060,2
21061,3
21074,6
21075,7
21076,8
21078,10
21082,2
21084,2
21085,10
21087,7
21093,42
21094,1
21102,4
21104,2
21108,33
21111,8
21113,17
21114,21
21117,21
21120,2
21122,31
21128,12
21131,9
21133,1
21136,18
21140,4
21144,5
21146,35
21152,12
21153,2
21154,1
21155,1
21157,5
21158,1
21162,9
21163,4
21202,21
21203,2
21204,41
21205,1
21207,20
21208,46
21209,20
21210,22
21211,3
21212,22
21215,9
21217,3
21218,14
21219,1
21220,13
21221,7
21222,1
21224,6
21227,4
21228,20
21229,3
21230,8
21231,5
21234,20
21236,7
21237,4
21286,19
21401,147
21403,102
21404,2
21405,2
21409,42
21502,16
21532,1
21550,1
21561,2
21601,67
21613,8
21617,4
21619,14
21620,12
21623,1
21629,10
21632,1
21638,5
21643,2
21645,1
21653,3
21654,19
21658,11
21659,2
21662,6
21663,10
21666,19
21673,2
21678,2
21679,1
21701,15
21702,3
21703,1
21704,1
21710,1
21713,2
21716,6
21722,2
21734,1
21737,1
21738,12
21740,17
21742,40
21754,2
21757,1
21758,2
21766,2
21769,8
21770,5
21771,2
21773,3
21774,4
21782,3
21784,21
21787,1
21791,4
21792,1
21794,7
21795,7
21797,12
21801,14
21804,2
21811,23
21813,1
21817,1
21842,35
21843,12
21851,2
21853,3
21863,2
21901,1
21911,3
21921,14
21930,1
NA,2
