zip,donations,total,total_population
20601,6976,190404.72999999975,25517
20602,6758,109716.81999999996,26550
20603,12854,248108.6100000006,31975
20604,247,8033.67,NA
20606,11,131.43,374
20607,6889,181393.81000000043,10843
20608,337,2569.720000000003,860
20609,61,2290,1151
20610,68,1669.1999999999998,NA
20611,46,1206,1634
20612,21,399.17,203
20613,6436,170352.85000000012,14020
20614,21,409,NA
20615,25,633,421
20616,1703,38740.899999999994,6389
20617,274,7542.26,832
20618,313,6069.32,406
20619,2733,63659.01000000006,15052
20620,393,7357.65,1369
20621,66,967,960
20622,356,8922.109999999999,6887
20623,2075,33616.96000000001,2997
20624,60,795,1409
20625,454,9224.020000000004,646
20626,240,3636.8600000000006,304
20627,8,40,NA
20628,43,12163.26,477
20629,37,813,383
20630,371,24333.75,301
20632,21,2812.5,432
20634,1095,27256.079999999944,6478
20635,23,1176,NA
20636,2316,58391.37,10805
20637,2083,40167.06999999999,5751
20638,24,729.74,NA
20639,3313,119571.28999999998,15793
20640,1569,24599.82999999998,10333
20644,33,659,NA
20645,199,10778.3,749
20646,5566,130374.95000000004,21951
20647,1,39.8,NA
20649,6,330,NA
20650,3964,144375.84000000023,14672
20653,3608,81705.0799999999,24274
20656,38,1569.76,NA
20657,5067,125720.03000000009,19226
20658,288,10475.370000000004,848
20659,2061,66697.38,23312
20660,5,190,0
20662,316,3207.0199999999995,2876
20663,6,135,NA
20664,225,19794.23,3462
20667,37,1525.39,633
20669,1,20,NA
20670,100,2542.67,1441
20674,355,9889.67,848
20675,265,13192.1,2017
20676,4042,51759.59,3848
20677,666,19220.51,2416
20678,2380,49224.85999999996,12261
20679,1,250,NA
20680,87,6197.360000000001,934
20682,3,153,NA
20683,6,280,NA
20684,90,3067.24,1066
20685,2422,44961.41000000005,6942
20686,776,26377.35,1775
20687,80,2937.49,448
20688,3855,84676.29000000008,1749
20689,201,18325.74,2081
20690,697,10894.629999999992,905
20691,4,84,NA
20692,161,5585.110000000001,899
20693,226,5676.370000000001,833
20694,3,28,NA
20695,4407,98344.96999999994,8089
20696,2,189.92,NA
20697,12,89,NA
20698,11,205.5,NA
20701,127,5610.76,92
20702,2,42,NA
20703,225,2404.51,NA
