zip,donations,total,total_population
20601,1425,35154.4,25517
20602,897,22974.03999999998,26550
20603,1449,54640.36000000012,31975
20604,58,1159.21,NA
20606,21,293.59999999999997,374
20607,578,12869.199999999992,10843
20608,26,960.7,860
20609,48,2305.4399999999996,1151
20610,40,2338.0399999999995,NA
20611,35,826.2,1634
20612,146,717.07,203
20613,1242,21712.14999999992,14020
20615,156,2400.2400000000016,421
20616,292,6938.1399999999985,6389
20617,122,2581.13,832
20618,111,3086.189999999999,406
20619,1321,50741.130000000056,15052
20620,163,5863.94,1369
20621,39,1845.489999999999,960
20622,383,17405.309999999994,6887
20623,103,2147.4399999999996,2997
20624,18,727.2300000000001,1409
20625,26,1835.3699999999997,646
20626,16,1488.6,304
20627,3,520.24,NA
20628,88,2661.529999999999,477
20630,57,8129.480000000001,301
20632,74,1660.4599999999996,432
20634,2590,41293.05999999995,6478
20636,1831,39801.99999999989,10805
20637,1342,50569.88999999994,5751
20639,4060,78700.29000000027,15793
20640,1132,23500.449999999957,10333
20645,104,2337.07,749
20646,5750,92164.8600000004,21951
20650,6687,111278.18000000074,14672
20653,2289,45948.46000000004,24274
20656,4,4,NA
20657,1350,80439.92000000038,19226
20658,11,1121.18,848
20659,3755,91069.19000000054,23312
20660,2,2000,0
20662,133,9742.390000000005,2876
20664,281,8245.47,3462
20667,30,1417.13,633
20670,19,705.89,1441
20674,209,9114.100000000006,848
20675,131,4188.69,2017
20676,691,23146.85999999999,3848
20677,10510,52261.30000000037,2416
20678,2547,50940.49999999995,12261
20680,44,1978.8,934
20684,75,3987.879999999999,1066
20685,1045,30678.48999999994,6942
20686,5,389.33,1775
20687,7,244.3,448
20688,2245,37209.47999999994,1749
20689,49,2773.0099999999993,2081
20690,735,14588.270000000004,905
20692,20,1091.63,899
20693,52,1714.5400000000006,833
20695,426,14520.069999999992,8089
20701,15,1439.86,92
20703,36,1705.4399999999998,NA
20705,805,22559.73999999999,27663
20706,1107,29126.840000000055,43670
20707,1548,34556.44999999992,32798
20708,789,54085.47,27843
20709,7,876.03,NA
20710,72,2001.2699999999995,9553
20711,727,37307.29999999996,7413
20712,173,4516.9000000000005,9608
20714,382,12063.769999999988,4683
20715,4184,142469.33000000103,27556
20716,1680,27480.630000000012,22237
20717,1,26.03,NA
20718,1,24.98,NA
20720,1111,34529.47999999995,22971
20721,535,14887.369999999986,29730
20722,233,3351.6400000000003,5728
20723,1100,43215.24999999997,35411
20724,696,11786.809999999992,17513
20725,12333,55055.410000000214,NA
20726,8,423.17,NA
20732,1193,30932.33999999991,9820
20733,781,35883.32,2777
20735,1180,22491.139999999927,38220
20736,765,36527.33999999994,9248
20737,225,5443.21,22295
20738,9,132,NA
20740,1193,56220.70999999998,31349
20741,34,671.36,NA
20742,1,1,6726
20743,183,4492.559999999999,37888
20744,2353,35052.24999999999,54925
20745,1032,53411.80999999974,27790
20746,140,2967.6399999999994,27041
20747,375,12687.24,40484
20748,653,14587.360000000004,38904
20749,83,79.14999999999999,NA
20750,4,102.06,NA
20751,672,10915.30000000001,2091
20753,7,250.49,NA
20754,1336,44534.28999999998,7124
20755,167,4977.139999999996,10873
20757,6,153.85,NA
20758,135,4327.030000000003,451
20759,1027,36052.18999999997,5311
20760,3,30.82,NA
20762,48,14706.78,3079
20763,71,3276.5099999999993,1635
20764,462,12968.499999999998,3829
20765,522,6221.2599999999975,407
20768,8,446.61,NA
20769,210,15896.250000000004,6222
20770,496,21328.50999999997,24560
20772,1389,31955.939999999937,45321
20773,22,1109.36,NA
20774,841,21914.559999999983,47165
20775,8,80,NA
20776,1963,65721.77000000003,3271
20777,293,20180.67,3687
20778,393,16143.259999999997,2079
20779,125,5277.000000000001,993
20781,158,10096.329999999998,11694
20782,7196,26050.830000000293,33398
20783,527,9823.730000000003,45302
20784,379,17513.350000000002,30270
20785,651,38606.709999999955,38878
